"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1292",9090908,4,3623,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1293",3500,4,3635,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1294",3500,4,3636,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1295",250,4,3640,1,NA,NA,NA,1,8,1,5,3,110132.7,384142319
"1296",NA,4,3657,2,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"1297",NA,4,3659,1,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1298",7000,4,3661,2,NA,NA,NA,1,6,1,5,3,110132.7,384142319
"1299",NA,4,3666,2,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1300",NA,4,3667,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1301",350,4,3672,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1302",350,4,3673,1,NA,NA,NA,1,6,1,5,5,110132.7,384142319
"1303",NA,4,3674,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1304",350,4,3678,1,NA,NA,NA,1,0,1,5,5,110132.7,384142319
"1305",300,4,3687,1,NA,NA,NA,1,1,1,5,3,110132.7,384142319
"1306",300,4,3688,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1307",350,4,3693,2,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1308",350,4,3694,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1309",NA,5,3698,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1310",NA,4,3705,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1311",NA,4,3712,1,7,2,5,NA,NA,NA,4,4,110132.7,384142319
"1312",200,4,3713,1,NA,NA,NA,2,4,2,5,4,110132.7,384142319
"1313",300,4,3723,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1314",3000,4,3724,2,NA,NA,NA,NA,1,5,5,1,110132.7,384142319
"1315",350,4,3726,1,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1316",300,5,3730,1,NA,NA,NA,2,2,2,5,2,110132.7,384142319
"1317",240,4,3734,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1318",7000,4,3735,1,NA,NA,NA,2,4,1,5,1,110132.7,384142319
"1319",NA,4,3736,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1320",230,5,3737,2,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"1321",3500,4,3742,1,NA,NA,NA,1,1,1,5,2,110132.7,384142319
"1322",240,4,3747,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1323",4000,4,3749,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1324",300,4,3750,2,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1325",350,5,3758,2,NA,NA,NA,2,1,2,5,5,110132.7,384142319
"1326",7200,4,3759,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1327",NA,4,3760,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1328",NA,4,3762,1,NA,NA,NA,NA,NA,NA,6,5,110132.7,384142319
"1329",350,4,3769,1,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"1330",2900,4,3773,1,NA,NA,NA,2,8,1,5,4,110132.7,384142319
"1331",NA,4,3778,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1332",3960,5,3779,1,NA,NA,NA,1,1,1,5,3,110132.7,384142319
"1333",350,4,3780,1,NA,NA,NA,1,1,1,5,4,110132.7,384142319
"1334",8940,4,3781,2,2,1,5,1,0,1,5,1,110132.7,384142319
"1335",NA,4,3782,1,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1336",2500,4,3785,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1337",NA,NA,3786,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1338",NA,4,3787,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1339",150,4,3790,2,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1340",3000,4,3791,1,NA,NA,NA,1,0,1,5,4,110132.7,384142319
"1341",4000,5,3796,2,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"1342",500,4,3797,2,NA,NA,NA,1,1,1,5,5,110132.7,384142319
"1343",7000,4,3798,2,NA,NA,NA,1,1,1,5,5,110132.7,384142319
